Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
JR Hazlewood ,2010-2018,44,13,11,37,11,18.5,57,64.91,0,0,1,PAK
MP Jarvis ,1987-1995,12,5,3,37,17,18.5,67,55.22,0,0,0,NZ
TS Kamunhukamwe ,2018-2019,3,3,0,37,34,12.33,50,74.0,0,0,1,HKG
Saiful Islam ,1990-1997,7,4,2,37,22,18.5,59,62.71,0,0,0,SL
Shahid Anwar ,1996-1996,1,1,0,37,37,37.0,44,84.09,0,0,0,AUS
DJ White ,1990-1990,3,3,0,37,15,12.33,97,38.14,0,0,0,UAE
Ankur Vasishta ,2014-2014,4,4,1,36,18,12.0,69,52.17,0,0,0,BMUDA
M Bhanuka ,2019-2019,1,1,0,36,36,36.0,39,92.3,0,0,0,SL
PW Gunaratne ,2002-2003,23,8,3,36,15,7.2,63,57.14,0,0,2,PAK
MF Malone ,1977-1982,10,7,3,36,15,9.0,63,57.14,0,0,0,AUS
G Mylvaganam ,1996-1996,3,3,0,36,23,12.0,92,39.13,0,0,1,ENG
AR Pitcher ,2006-2007,4,4,0,36,30,9.0,89,40.44,0,0,0,NEPAL
KR Pushpakumara ,1994-1999,31,9,5,36,14,9.0,52,69.23,0,0,2,IRE
Saleem Jaffar ,1986-1990,39,13,11,36,10,18.0,73,49.31,0,0,2,BMUDA
RB Simpson ,1978-1978,2,2,0,36,23,18.0,53,67.92,0,0,0,AUS
JO Troughton ,2003-2003,6,5,1,36,20,9.0,76,47.36,0,0,1,HKG
B Bhandari ,2019-2019,3,3,0,35,21,11.66,77,45.45,0,0,0,BDESH
PKD Chase ,2015-2018,25,16,6,35,14,3.5,56,62.5,0,0,7,KENYA
H Durham ,2006-2006,9,7,3,35,11,8.75,105,33.33,0,0,0,CAN
G Dymock ,1974-1980,15,7,4,35,14,11.66,82,42.68,0,0,1,NZ
Joginder Sharma ,2004-2007,4,3,2,35,29,35.0,30,116.66,0,0,0,ENG
C McAuslan ,2017-2017,2,2,0,35,27,17.5,72,48.61,0,0,0,NL
